row,Assembly,Length
841,Ref_Scaff,2087
842,Ref_Scaff,2086
843,Ref_Scaff,2084
844,Ref_Scaff,2081
845,Ref_Scaff,2079
846,Ref_Scaff,2079
847,Ref_Scaff,2078
848,Ref_Scaff,2076
849,Ref_Scaff,2068
850,Ref_Scaff,2064
851,Ref_Scaff,2063
852,Ref_Scaff,2063
853,Ref_Scaff,2062
854,Ref_Scaff,2060
855,Ref_Scaff,2060
856,Ref_Scaff,2060
857,Ref_Scaff,2059
858,Ref_Scaff,2050
859,Ref_Scaff,2046
860,Ref_Scaff,2044
861,Ref_Scaff,2043
862,Ref_Scaff,2035
863,Ref_Scaff,2033
864,Ref_Scaff,2033
865,Ref_Scaff,2030
866,Ref_Scaff,2027
867,Ref_Scaff,2021
868,Ref_Scaff,2020
869,Ref_Scaff,2017
870,Ref_Scaff,2014
871,Ref_Scaff,2010
872,Ref_Scaff,2009
873,Ref_Scaff,2008
874,Ref_Scaff,2006
875,Ref_Scaff,2006
876,Ref_Scaff,2005
877,Ref_Scaff,2005
878,Ref_Scaff,1998
879,Ref_Scaff,1998
880,Ref_Scaff,1998
881,Ref_Scaff,1995
882,Ref_Scaff,1993
883,Ref_Scaff,1990
884,Ref_Scaff,1990
885,Ref_Scaff,1988
886,Ref_Scaff,1986
887,Ref_Scaff,1986
888,Ref_Scaff,1980
889,Ref_Scaff,1978
890,Ref_Scaff,1976
891,Ref_Scaff,1976
892,Ref_Scaff,1975
893,Ref_Scaff,1974
894,Ref_Scaff,1970
895,Ref_Scaff,1966
896,Ref_Scaff,1966
897,Ref_Scaff,1966
898,Ref_Scaff,1964
899,Ref_Scaff,1963
900,Ref_Scaff,1962
901,Ref_Scaff,1962
902,Ref_Scaff,1962
903,Ref_Scaff,1961
904,Ref_Scaff,1961
905,Ref_Scaff,1961
906,Ref_Scaff,1956
907,Ref_Scaff,1956
908,Ref_Scaff,1947
909,Ref_Scaff,1947
910,Ref_Scaff,1947
911,Ref_Scaff,1946
912,Ref_Scaff,1945
913,Ref_Scaff,1944
914,Ref_Scaff,1943
915,Ref_Scaff,1939
916,Ref_Scaff,1936
917,Ref_Scaff,1936
918,Ref_Scaff,1935
919,Ref_Scaff,1933
920,Ref_Scaff,1933
921,Ref_Scaff,1931
922,Ref_Scaff,1929
923,Ref_Scaff,1928
924,Ref_Scaff,1928
925,Ref_Scaff,1927
926,Ref_Scaff,1926
927,Ref_Scaff,1926
928,Ref_Scaff,1924
929,Ref_Scaff,1920
930,Ref_Scaff,1917
931,Ref_Scaff,1916
932,Ref_Scaff,1916
933,Ref_Scaff,1907
934,Ref_Scaff,1906
935,Ref_Scaff,1905
936,Ref_Scaff,1904
937,Ref_Scaff,1903
938,Ref_Scaff,1903
939,Ref_Scaff,1903
940,Ref_Scaff,1902
941,Ref_Scaff,1901
942,Ref_Scaff,1900
943,Ref_Scaff,1900
944,Ref_Scaff,1899
945,Ref_Scaff,1895
946,Ref_Scaff,1895
947,Ref_Scaff,1893
948,Ref_Scaff,1891
949,Ref_Scaff,1890
950,Ref_Scaff,1890
951,Ref_Scaff,1888
952,Ref_Scaff,1882
953,Ref_Scaff,1872
954,Ref_Scaff,1872
955,Ref_Scaff,1871
956,Ref_Scaff,1870
957,Ref_Scaff,1870
958,Ref_Scaff,1869
959,Ref_Scaff,1869
960,Ref_Scaff,1869
961,Ref_Scaff,1868
962,Ref_Scaff,1865
963,Ref_Scaff,1863
